street,arrondissement,from_url
Port du Louvre,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Porte Berger,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Porte du Jour,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Porte du Louvre,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Porte du Pont-Neuf,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Porte Lescot,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Porte Rambuteau,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Porte Saint-Eustache,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Péristyle de Beaujolais,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Péristyle de Chartres,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Péristyle de Joinville,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Péristyle de Montpensier,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Péristyle de Valois,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Quai Aimé-Césaire,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Quai de l'Horloge,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Quai de la Mégisserie,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Quai des Orfèvres,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Quai des Tuileries,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Quai du Louvre,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Quai François-Mitterrand,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue Adolphe-Jullien,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue Baillet,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue Bailleul,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue Baltard,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue Basse,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue Berger,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue Bertin-Poirée,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue Boucher,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue Brève,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue Cambon,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue Catinat,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
